id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
30294,Infantry fighting vehicles,BMP-1AM 675-sb3KDZ,Destroyed,Russia,2024-09-28,"Tsukuryne, Pokrovsk raion","48.11239,37.28916",,
30296,Infantry fighting vehicles,BTR-82A(M),Destroyed,Russia,2024-09-27,"Novohrodivka, Pokrovsk raion","48.205272,37.347538",,"Turretless, Cope cage, Additional armour"
30298,Infantry fighting vehicles,BMP-3,Destroyed,Russia,2024-09-29,"Novohrodivka, Pokrovsk raion","48.214667,37.331111",,"Turretless, Cope cage, Additional armour"
30299,Tanks,Unknown T-80 Obr. 2022 variant,Destroyed,Russia,2024-09-21,"Kucherov, Belovsk raion","51.0529199,35.3986697",40th Separate Naval Infantry Brigade,"Turretless, V, Mine plow/roller, Jammer, Turtle"
30300,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-09-21,"Plekhovo, Sudzha raion",,,Cope cage
30301,Infantry fighting vehicles,BMP-2 675-sb3KDZ,Destroyed,Russia,2024-09-30,"Krokhmalne, Kupiansk raion","49.572566,37.900709",,"Turretless, Shattered, Cope cage"
30302,Infantry fighting vehicles,BMD-4M,Abandoned,Russia,2024-09-30,"Chasiv Yar, Bakhmut raion","48.5955,37.886972",VDV (Russian Airborne Forces),"Cope cage, Damaged"
30308,Engineering,EOV-3521 excavator,Destroyed,Russia,2024-09-22,Belgorod oblast,,Leningrad Military District,
30313,Infantry fighting vehicles,BTR-82AT,Abandoned,Russia,2024-09-30,"Selydove, Pokrovsk raion","48.173395,37.315332",,"Cope cage, Damaged"
30314,Infantry fighting vehicles,BTR-82AT,Abandoned,Russia,2024-09-30,"Selydove, Pokrovsk raion","48.173400,37.315377",,"Cope cage, Damaged"
30315,Infantry fighting vehicles,BTR-80 or 82,Destroyed,Russia,2024-09-30,"Selydove, Pokrovsk raion","48.173255,37.315374",,Turretless
30316,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.291467,36.940182",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,"Cope cage, Additional armour"
30319,Infantry fighting vehicles,BMD-2,Destroyed,Russia,2024-09-29,"Veseloe, Glushkovo raion","51.26853,34.57744",,"V, Cope cage, Jammer"
30322,Infantry fighting vehicles,BMD-2,Abandoned,Russia,2024-09-29,"Veseloe, Glushkovo raion","51.274924,34.567267",,"Cope cage, Damaged"
30323,Infantry fighting vehicles,BTR-80,Destroyed,Russia,2024-09-25,"Novohrodivka, Pokrovsk raion","48.197444,37.335278",,"Cope cage, Additional armour"
30324,Transport,Ural-4320,Destroyed,Russia,2024-08-10,Luhansk oblast,,,
30325,Infantry fighting vehicles,BMD-2,Destroyed,Russia,2024-09-04,"Korenevo, Korenevo raion","51.371222,34.902389",,"V, Cope cage, ☐"
30326,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.29185,36.93708",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,Cope cage
30327,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.29167,36.93711",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,
30328,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-18,"Vovchansk, Chuhuiv raion","50.30804,36.92283",,Cope cage
30329,Infantry fighting vehicles,MT-LB,Abandoned,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.30803,36.92236",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,"Cope cage, Damaged"
30330,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-10-04,"Vovchansk, Chuhuiv raion","50.296833,36.929139",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,"Z, Cope cage, ◇, ✕"
30334,Drones,ZALA Z-16 (421-16Е) reconnaissance UAV,Destroyed,Russia,2024-09-30,,,,
30339,Transport,Ural-4320,Destroyed,Russia,2024-03-09,,,,
30340,Transport,Ural-4320 DKZ,Destroyed,Russia,2024-03-09,,,,
30343,Infantry fighting vehicles,BMD-2,Destroyed,Russia,2024-09-30,Kursk oblast,,,"V, Cope cage"
30344,Transport,GAZ-66,Destroyed,Russia,2024-09-30,"Vuhledar, Volnovakha raion",,,"Cope cage, Jammer, Additional armour"
30346,Infantry fighting vehicles,BTR-80,Destroyed,Russia,2024-07-31,"Novooleksandrivka, Pokrovsk raion","48.275278,37.588028",,"Cope cage, Additional armour"
30348,Infantry fighting vehicles,MT-LB,Abandoned,Russia,2024-09-30,"Vovchansk, Chuhuiv raion",,69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,"Cope cage, Damaged, Additional armour"
30349,Infantry fighting vehicles,BMP-3 Obr. 2020,Destroyed,Russia,2024-09-27,"Sukhyi Yar, Pokrovsk raion","48.223222,37.290806",,"Cope cage, Jammer, Additional armour"
30350,Tanks,T-90M 'Proryv',Destroyed,Russia,2024-09-27,"Novohrodivka, Pokrovsk raion",,,"Cope cage, Jammer"
30351,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-09-27,"Pishchane (Petropavlivka hromada), Kupiansk raion","49.595892,37.821163",,Cope cage
30352,Infantry fighting vehicles,BMP-2(K),Captured,Russia,2024-10-01,"Vuhledar, Volnovakha raion","47.7941538,37.2244698",,"V, Cope cage, Damaged, Jammer, Additional armour"
30354,Transport,Ural-4320,Destroyed,Russia,2024-10-01,"Semenivka, Pokrovsk raion","48.182037,37.615719",,Cope cage
30355,Anti-aircraft systems,Ural-4320 with S-60 AA gun,Destroyed,Russia,2024-10-01,"Semenivka, Pokrovsk raion","48.182090,37.616641",,"Cope cage, Jammer"
30356,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Destroyed,Russia,2024-10-02,"Krasnohorivka (Marinka hromada), Pokrovsk raion","47.98419,37.53958",,Cope cage
30357,Tanks,T-72B3 Obr. 2022,Destroyed,Russia,2024-09-30,"Krasnohorivka (Marinka hromada), Pokrovsk raion","47.986350,37.539284",,Cope cage
30358,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,2024-10-02,"Krasnohorivka (Marinka hromada), Pokrovsk raion",,,"Turretless, Z"
30359,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-09-27,"Pishchane (Petropavlivka hromada), Kupiansk raion","49.569917,37.794472",,"Turretless, Shattered, Cope cage"
30360,Tanks,T-90M 'Proryv',Damaged,Russia,2024-09-16,"Korenevo raion, Kursk oblast",,,Cope cage
30362,Infantry fighting vehicles,Unknown IFV,Destroyed,Russia,2024-09-29,"Pishchane (Petropavlivka hromada), Kupiansk raion","49.574570,37.845691",,
30363,Drones,ZALA Z-16 (421-16Е) reconnaissance UAV,Destroyed,Russia,2024-10-01,,,,
30365,Infantry mobility vehicles,AMN-590951 'VPK-Ural',Destroyed,Russia,2024-09-05,"Zhuravlevka, Belgorod raion","50.334288,36.333841",,"Cope cage, ◇, Jammer, ✕, Additional armour"
30366,Tanks,Unknown tank,Destroyed,Russia,2024-07-18,"Volodymyrivka, Svatove raion","49.591567,37.957256",,Cope cage
30367,Infantry fighting vehicles,BMP-2M 'Berezhok',Destroyed,Russia,2024-08-28,"Pishchane (Petropavlivka hromada), Kupiansk raion",,,"Cope cage, Jammer"
30368,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-08-23,"Zhuravlevka, Belgorod raion","50.309332,36.317215",,Cope cage
30369,Infantry fighting vehicles,BMP-3 688A-sb6-2KP,Destroyed,Russia,2024-09-28,"Novohrodivka, Pokrovsk raion","48.20975,37.326611",,"Cope cage, Additional armour"
30370,Infantry fighting vehicles,BMP-3,Destroyed,Russia,2024-09-28,"Novohrodivka, Pokrovsk raion","48.219938,37.315808",,"Cope cage, Additional armour"
