id,tag1
3658, ⧸
3663, KUNG
3664, ☐
3705, ☐
3757, KUNG
3759, V
3768, Damaged
3866, Damaged
3869, Damaged
3880, ☐
3884, ☐
3885, ☐
3935, Damaged
3936, Additional armour
3938, Additional armour
3944, Flipped
3948, Additional armour
3991, ⧸
3996, ☐
3997, ☐
4003, ☐
4023, ☐
4025, ☐
4030, Damaged
4056, Damaged
4087, KUNG
4237, Flipped
4348, Mine plow/roller
4641, Shattered
5529, Z
5531, Shattered
5541, V
5560, Z
5599, Flipped
5640, Additional armour
5644, Flipped
5660, ⧸
5666, ☐
5669, ☐
5697, Shattered
5700, Shattered
5715, Shattered
5737, ☐
5767, PL-1
5779, Shattered
5785, PL-1
5786, PL-1
5787, PL-1
5812, KUNG
5829, Underwater
5851, Shattered
5855, Shattered
5856, Shattered
5857, Shattered
5860, Shattered
5872, V
5901, V
5903, Underwater
5906, Underwater
5907, Shattered
5911, Z
5954, V
5955, V
5961, Additional armour
5995, V
6006, V
6007, O
6070, Flipped
6086, Z
6090, V
6096, Flipped
6099, Flipped
6176, Damaged
6187, V
6188, Shattered
6190, Flipped
6192, KUNG
6193, Shattered
6194, Shattered
6201, V
6202, KUNG
6223, O
6250, Z
6258, Z
6307, Shattered
6308, Shattered
6320, Z
6321, Z
6334, Z
6396, V
6404, Z
6407, Z
6446, ☐
6453, PL-1
6466, Shattered
6476, Shattered
6482, Shattered
6484, Shattered
6485, Shattered
6486, Shattered
6490, Shattered
6491, Shattered
6494, Shattered
6517, Shattered
6520, Damaged
6575, Damaged
6597, ☐
6623, KUNG
6656, Z
6657, Damaged
6665, Damaged
6702, Shattered
6718, Z
6720, Shattered
6733, Shattered
6742, Damaged
6775, Damaged
6830, ☐
6855, Shattered
6859, O
6864, Shattered
6867, Z
6910, ☐
6911, ☐
6940, Shattered
6957, Shattered
6961, Z
6962, Z
6984, Shattered
6992, Shattered
6996, Shattered
7058, V
7077, KUNG
7104, Z
7168, Shattered
7220, PL-1
7221, Shattered
7228, Z
7235, Z
7240, Z
7248, O
7277, KUNG
7287, Z
7291, Shattered
7297, ☐
7310, Shattered
7312, Shattered
7320, Z
7328, V
7332, Z
7334, V
7348, Shattered
7355, Shattered
7373, V
7377, Shattered
7385, Shattered
7393, Shattered
7395, V
7398, V
7400, Flipped
7402, Damaged
7414, Shattered
7435, Damaged
7458, Flipped
7507, Flipped
7530, ☐
7536, Shattered
7539, Z
7540, Shattered
7555, Shattered
7556, Mine plow/roller
7651, Shattered
7657, Shattered
7673, V
7677, Mine plow/roller
7679, Shattered
7680, Shattered
7691, Shattered
7698, Shattered
7775, Shattered
7803, Z
7832, Shattered
7838, Shattered
7856, PL-1
7870, V
7908, Shattered
7910, Shattered
7911, Shattered
7912, Shattered
7913, Shattered
7925, Z
7930, Flipped
7934, Damaged
7936, Cope cage
7943, Z
7948, Z
7969, Damaged
7986, Z
8006, Z
8009, Shattered
8014, Z
8024, Damaged
8029, Z
8032, PL-1
8059, ☐
8062, PL-1
8066, Shattered
8067, ☐
8068, ☐
8118, ∇
8141, ∇
8143, Damaged
8147, Z
8148, ☐
8154, PL-1
8168, ☐
8189, ☐
8190, Damaged
8195, ☐
8210, ☐
8233, ☐
8242, ☐
8243, Z
8246, Damaged
8254, PL-1
8260, V
8306, Z
8310, Damaged
8314, Damaged
8370, Shattered
8399, Shattered
8416, V
8417, V
8425, Damaged
8426, ☐
8430, ☐
8439, ☐
8465, Shattered
8493, O
8516, Z
8517, Shattered
8523, Damaged
8555, Shattered
8586, Z
8630, ☐
8645, Damaged
8659, Shattered
8691, PL-1
8712, ☐
8757, ☐
8763, Armour kit missing
8775, ☐
8790, ☐
8799, Z
8802, V
8828, Shattered
8829, Shattered
8831, O
8902, Z
8910, Stugna
8919, Damaged
8923, Shattered
8945, ☐
8962, Z
9003, KUNG
9060, Z
9074, Shattered
9078, Damaged
9114, ⧸
9130, Shattered
9148, V
9166, ∇
9178, ∇
9180, ☐
9194, V
9195, Shattered
9196, Shattered
9197, Shattered
9199, KUNG
9238, Damaged
9243, Shattered
9247, Shattered
9273, Z
9291, O
9297, Z
9298, V
9316, Z
9317, Shattered
9340, Z
9361, Mine plow/roller
9379, Z
9429, Z
9442, V
9487, O
9493, V
9556, Z
9598, Mine plow/roller
9610, Shattered
9611, Z
9612, Z
9650, ∇
9666, Cope cage
9667, Cope cage
9670, Shattered
9676, Z
9691, V
9721, O
9724, Z
9743, V
9768, PL-1
9775, ☐
9804, Cope cage
9810, V
9827, Additional armour
9866, Shattered
9909, Z
9927, O
9935, Shattered
9941, Shattered
10021, Shattered
10035, KUNG
10067, Damaged
10120, Z
10130, Shattered
10185, Shattered
10203, Z
10204, Shattered
10211, Z
10213, Flipped
10214, O
10215, Shattered
10225, Shattered
10228, Z
10232, ☐
10234, Z
10246, O
10274, Shattered
10280, ∇
10335, V
10365, Damaged
10368, Shattered
10373, Damaged
10376, ⧸
10484, Additional armour
10493, Damaged
10502, ⧸
10520, Shattered
10525, V
10553, ⧸
10563, Z
10565, Shattered
10566, Shattered
10586, Stugna
10662, PL-1
10668, Shattered
10708, Z
10724, O
10731, Damaged
10734, Z
10760, Damaged
10771, ☐
10788, O
10789, Stugna
10802, Cope cage
10803, Shattered
10819, ☐
10983, Shattered
10984, Shattered
10989, Shattered
11044, O
11056, Z
11064, V
11143, Stugna
11182, Shattered
11199, ∇
11232, Damaged
11275, Mine plow/roller
11276, V
11277, Damaged
11278, Damaged
11279, Damaged
11285, Shattered
11325, V
11334, Z
11367, Shattered
11372, Stugna
11392, Z
11400, V
11433, Shattered
11461, Shattered
11465, Shattered
11474, Z
11481, V
11501, Shattered
11527, Shattered
11548, Z
11583, V
11615, Shattered
11625, Z
11630, Flipped
11651, V
11652, Mine plow/roller
11654, Damaged
11679, Flipped
11706, Mine plow/roller
11723, Shattered
11741, V
11753, V
11841, Mine plow/roller
11893, ☐
11944, Damaged
11994, Damaged
12035, Damaged
12038, KUNG
12056, Z
12063, Shattered
12065, Damaged
12084, Shattered
12085, Z
12087, Shattered
12231, Additional armour
12299, ⧸
12300, Mine plow/roller
12306, Z
12312, V
12336, Shattered
12344, Shattered
12379, Shattered
12399, KUNG
12436, Z
12438, Damaged
12441, Shattered
12445, Shattered
12474, Z
12519, O
12522, Z
12527, Flipped
12540, V
12542, Damaged
12586, PL-1
12587, V
12605, ☐
12607, O
12686, Cope cage
12822, Stugna
12826, Z
12912, Z
12917, V
13061, Shattered
13069, KUNG
13154, Mine plow/roller
13257, Z
13328, Mine plow/roller
13332, Z
13333, Z
13334, Z
13335, Shattered
13486, O
13505, Z
13515, PL-1
13516, Z
13533, Shattered
13556, Z
13557, Shattered
13558, ⧸
13588, V
13702, ☐
13704, Damaged
13705, Damaged
13710, KUNG
13747, Shattered
13761, Z
13780, O
13787, Shattered
13818, Z
13831, Damaged
13852, Shattered
13860, Damaged
13878, Damaged
13879, Damaged
13904, ∇
13913, Damaged
13917, Shattered
13923, V
13924, Damaged
13926, Damaged
13931, Damaged
13932, ☐
13933, ☐
13941, Mine plow/roller
13947, ☐
13948, Damaged
13949, Damaged
13950, Flipped
13951, Mine plow/roller
13953, ☐
13956, Shattered
13966, ☐
14017, Shattered
14027, Damaged
14028, Damaged
14031, Shattered
14033, Flipped
14039, Z
14043, Shattered
14066, KUNG
14078, ☐
14089, Z
14090, Shattered
14106, Damaged
14108, Damaged
14109, ☐
14124, V
14141, Mine plow/roller
14142, Damaged
14144, Mine plow/roller
14254, O
14299, O
14306, Damaged
14308, Damaged
14319, Z
14320, Shattered
14321, Shattered
14359, Damaged
14360, Shattered
14362, ⧸
14385, ☐
14387, ☐
14393, Shattered
14400, Z
14401, Damaged
14410, V
14411, ☐
14418, Z
14427, Shattered
14436, Cope cage
14461, V
14463, Shattered
14497, Z
14507, Shattered
14523, Damaged
14537, Z
14567, V
14587, V
14588, Shattered
14590, Shattered
14678, ⧸
14692, Z
14695, Shattered
